,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66
AGS,-1.3622434,0.7455173,-0.41083413,-0.94834703,-1.3276217,-0.98398864,-0.53854316,-0.5791458,-0.3190985,1.3815789,0.27209044,-0.21610674,0.5143979,0.43103424,0.10796365,-0.17365545,-0.023639614,1.099471,0.27931175,-0.604419,-0.07801311,-0.39202505,-0.49723098,0.50666636,-0.0016014762,1.2443196,0.039879978,-0.6085279,-1.1075876,-0.3877775,0.19551983,-0.747875,-0.32877988,0.6675561,-0.5717685,0.5099247,-0.110094436,-1.3076541,0.5883995,-0.022775434,1.2013953,-0.37266612,-0.69216627,-0.058344096,0.2833603,0.7246606,-0.7021889,-0.34166604,-0.3320644,-0.05180855,-0.056478225,0.32108983,0.16812009,-0.9742217,-0.40218604,0.61820537,0.61667067,-0.5603561,-0.19396251,0.16289681,0.026485233,-0.2031569,-0.74752676,0.11190744,0.685506,0.03654279,0.43360502
BFTC-909,1.293101,-0.38870648,-0.39344853,1.2787298,2.5161176,-0.16525088,3.081461,0.6851594,-0.074578315,0.15807796,-0.5762918,-0.5606708,-1.4058982,0.5845826,1.4669689,-0.18029115,-1.2048426,-2.2850099,-0.92500955,2.9934242,-1.7320101,2.4364612,0.77289367,-1.8750472,-1.2732267,-1.89106,-0.24738365,2.3280613,1.5277096,1.4422057,-1.262799,-1.2496662,-1.4456608,-2.0832636,-0.32093,-1.98269,0.25892934,0.67714196,0.49912235,0.8866739,-0.34675127,1.5084718,0.7140254,0.20143735,-0.8370038,-0.32641417,2.2423363,-2.3437355,-0.99020904,-0.77825487,0.20330256,-1.071112,1.9331348,1.6403422,0.11580211,-1.290248,-0.73315275,-1.0502309,0.053247415,0.6124555,0.93491006,0.38714564,0.835536,1.4088435,-0.5932056,1.2548449,-2.1733735
CAS-1,1.256539,-0.6103728,1.2866457,1.5349709,1.7316585,1.8021022,1.8948952,1.8212931,0.63998246,-2.6902373,0.47760937,-1.0546818,-1.4980003,-0.44183958,0.036397416,-0.06319013,1.0985848,-0.50078636,-1.4779236,2.4170036,-0.61610025,-1.2333999,2.5449896,0.5266922,1.191615,-1.291148,-1.8643636,0.8939326,3.7992816,1.5755216,-0.16999511,-0.8898513,-0.06397855,0.43400308,3.2941706,-1.4134042,0.58071166,2.7890482,-0.8176283,0.570042,-3.231169,-0.81207097,0.90951693,2.6897516,-2.038964,-2.0143397,1.9678601,-0.45607242,1.1397816,0.08334166,0.5326879,-1.4058254,1.6680019,3.568313,1.6131802,0.05245912,0.07201387,-0.9677325,0.18615243,0.8711049,-0.59796417,1.994168,2.6510773,-0.6207156,-1.6581041,2.3102684,-0.31276336
SNU-C2A,3.3986182,-0.5093901,2.197362,-0.76083016,-0.49250808,-3.7734115,2.3504174,2.0949214,-0.6601685,-1.0622936,-1.1807139,2.8111494,-4.7096133,-2.6923652,2.0686285,6.0931454,0.46449274,-4.867453,0.29903382,-1.7058884,2.1711104,4.700501,-0.19783549,0.15346655,-0.8984487,-4.1229544,1.2516228,-0.4764857,-1.0571544,-2.6121268,4.0384626,-0.49034855,2.0866752,0.89929914,1.6848103,-4.860519,-1.4944884,0.84755886,-2.0086257,-0.43672854,0.06558914,0.7761392,-1.8558675,1.4657549,-0.5743794,0.3544211,-0.44810563,2.8701603,-2.2749941,-5.586381,2.8935554,-0.96539,0.2915696,0.825741,1.4464548,-1.9142582,-3.4585917,-1.1312282,-2.3195124,3.5185518,-4.180164,1.4203088,-3.0080392,-3.1407561,1.7262453,2.1812608,-0.895875
LS411N,-3.1102602,-4.5616784,4.693412,-2.9513733,5.7027984,3.1097908,-0.20736843,1.5202267,-1.2939934,-4.5730834,-2.3289227,0.13598841,-1.7899039,0.29882845,-5.081898,-4.0045156,-1.7557561,-6.672927,1.038174,1.077001,4.3535423,-2.7150397,2.0312963,-2.4060524,-0.6022526,-1.6203824,-4.196569,1.7671688,3.6381962,-4.59594,-1.2089024,-0.109227605,2.8293588,0.2737251,3.581308,-1.3998511,-1.3369707,4.2025185,-3.073489,0.85394573,0.6337524,-0.7542349,1.7958844,3.405706,-1.121621,-3.1918879,5.560214,2.1896634,-2.5766668,0.54995173,3.1618807,-4.1899676,-1.3542702,2.1852355,0.6774521,-3.2337897,-2.6824389,-0.9514639,2.511751,-4.29809,-4.0321183,0.78828114,0.040556043,2.3709319,-2.376636,-0.49984217,-2.506648
ML-1 [Human thyroid carcinoma],-1.1532036,1.1776937,0.15330559,-0.45048624,-1.1119666,-1.0148044,0.8041466,-1.4221565,-1.8135207,0.4239235,1.4185075,-0.09996945,-1.1054945,1.2101405,0.23250237,0.90448993,-0.35965532,0.81836545,0.30791327,-0.24070582,-0.79791725,0.42381224,-0.3622882,0.50760096,-0.43296495,0.5863895,0.17067511,-0.69031554,-2.1512823,-0.37489092,0.45301035,-1.2755717,-0.46248925,1.4050169,0.4199568,1.0406177,0.011359476,-1.3894686,1.8858527,-0.032059416,1.4682189,-0.33651185,-1.4906572,0.845178,-0.95823616,0.5880312,-1.4324805,-1.209319,-0.8702656,-0.008901104,0.009411499,-1.1095016,-0.2851827,-0.31417993,-0.22825189,1.1772069,0.9657602,-0.85815036,-0.9546849,0.64719236,-0.48686165,-0.67921114,-1.3189242,-0.011970013,0.094681665,0.61100817,1.8821421
Panc 10.05,-1.7849274,0.32155427,0.10831344,-0.6489944,-0.9671324,-1.2803783,-1.2030386,-1.3326725,-0.86030436,0.12312201,-0.13713631,-0.343533,0.43186626,0.2507552,-1.2116375,0.38867432,-0.22614616,1.3025233,0.54991233,-0.6470606,-0.0024970323,-0.6487895,-0.15890169,1.1742197,0.157623,0.98186976,-0.4022945,-0.008145358,-1.2695327,-0.4565891,0.23174623,-0.9592623,0.3963857,1.1406808,-0.55764854,-0.050865438,-0.5639996,-1.1346719,0.23361026,-0.18003696,1.4506099,-0.5743056,-0.2601576,0.12842849,-0.19373019,0.9771509,-0.7189727,-0.51433104,-1.145781,0.60136414,-0.30552077,-0.2788735,-0.16725375,-1.2102059,-0.04488764,1.2742819,0.6034806,-0.8671241,-0.5269373,0.6499967,-0.5739241,-0.32390112,-0.5442343,-0.57765347,0.74509555,-0.6337611,-0.16250716
KP-N-RT-BM-1,-0.9820979,0.18649584,-0.28867498,-0.5645008,-0.85647994,-0.9543072,-0.647215,-1.3595167,-0.9671342,-0.28886378,-0.15733767,-0.040615186,0.9344689,0.37724003,-0.11060794,-0.6099027,-0.45944533,1.299929,-0.22301707,-0.06820331,-0.5170364,-0.58463687,-0.08998586,0.9505512,0.78270173,0.9431174,-0.10694662,-0.6861274,-0.54028857,-0.30185688,0.29347664,-0.8127891,-0.35379755,1.5420773,-1.0244031,0.4969561,0.12137739,-1.378265,0.4604825,-0.64876217,0.9889306,-1.0520346,-0.5851968,0.044378676,-0.2846635,0.49706662,-0.7531409,-0.3303797,0.11607751,0.68271804,-0.16143522,-0.7545689,-0.19837521,-0.5519273,0.5160462,1.2066736,1.1615112,-0.67071986,-0.5705322,0.49091637,-0.54102147,-0.04074696,-0.56899166,-0.14048938,0.8754732,-0.13459986,0.15699762
SiMa,-1.8854747,1.1385767,-1.0083736,-0.09749851,-1.8512954,-1.0268204,-0.7006001,-2.7297153,-2.8867624,-2.2575846,0.19739814,1.1911106,0.64884126,2.5539882,-0.31542814,-1.3303789,-0.12044892,1.8951782,0.14768921,0.4995314,-0.88888687,-0.14889479,0.46897542,2.8429732,1.3918703,0.31728527,-0.16380255,-0.48818988,-0.10098779,-0.9433131,-0.09766512,-1.098402,-0.8144314,3.4850595,-2.8582597,1.1843213,-0.7249951,-2.510669,2.8112416,-0.83871317,0.95583826,-1.9865906,-1.6536818,1.4918829,-3.2973657,-0.08376756,-1.4259036,-1.089602,1.0641626,3.5046012,-1.4267218,-3.283492,0.47242686,-0.03380666,2.184434,2.8565145,2.4349375,-0.8659268,-2.8561993,1.3145934,-2.0620582,-0.9423665,-0.79242206,1.0781186,0.18881519,0.6445492,1.3490816
KP-2,1.767323,-0.6166155,1.3564742,0.1794611,2.9879303,2.6714146,3.343672,1.9745444,-0.92816716,-1.5629146,0.96285486,-0.2940443,0.618052,-2.1865387,0.029286519,-2.2134478,-1.8886888,-2.9271522,0.58919364,1.3911167,1.3253089,2.1889849,1.4601983,-1.5038863,-2.1317816,-1.1170131,-1.6124537,0.84484255,2.0369139,1.5980186,-0.5160082,0.6547993,-1.7576125,-1.9093819,-0.011622777,0.74432755,2.7568371,3.3915968,-0.8922111,1.3736323,-2.0763354,-0.21923,1.6108419,0.25372422,-0.95413446,-1.391016,2.2619464,-1.1108503,0.5282575,-1.2718297,1.3112271,0.5943295,1.2772726,3.7170968,-0.697006,-1.4069288,0.09602697,-0.5994156,2.0422926,-0.37936696,0.86944616,0.77594906,0.81936306,0.0023285449,-0.710215,0.101386786,1.1571089
IGROV-1,-0.48702848,0.39591646,-0.7474197,0.032717183,-0.6871465,-0.51879156,-0.5445645,-0.37249357,0.04592254,0.7529621,-0.0453867,0.2632229,0.34681183,0.37315553,0.31390288,0.1054828,-0.12684858,1.0267998,0.27783296,-0.15122059,-0.26758292,-0.24635383,-0.26551664,0.22004183,0.43559045,0.6750162,0.25125793,-0.060235884,-0.4954433,0.52952063,-0.2304626,-0.0790443,0.04003144,-0.23601773,-0.31003395,0.10157621,-0.3948003,-1.0544993,-0.19212455,-0.11298325,0.4101859,0.4554356,-0.06576054,-0.89312,0.5024059,0.46588063,-0.42321485,-0.58690625,-0.017046968,0.4723933,-0.41804993,0.42023706,-0.02411569,-0.77631307,-0.12781441,0.22102775,0.030379355,0.38212615,-0.021351611,0.144713,0.16031761,-0.5364065,-0.41814578,-0.119507894,0.44035757,0.563105,-0.2102494
786-O,1.3895216,0.8957683,1.4283235,1.2358603,0.05337368,-0.508667,1.6882312,1.9990916,0.3702874,-1.2474638,3.4035883,-1.524423,-3.4811475,-0.7613834,0.26689234,4.567998,-0.4274319,-3.1139548,0.6681427,1.9476,-1.3943039,0.9538684,0.803094,-2.5055778,1.4537337,-2.9649625,0.09657875,2.451953,-0.43172565,-0.9399725,-0.20099628,1.4729788,2.19563,-1.5109546,0.76275796,0.12389997,1.3585688,1.9925097,1.550726,-0.33165216,-0.6645075,2.329453,-0.41473913,1.5246565,1.6694162,-0.5698435,-1.945723,-1.6019754,-1.1084573,-0.90462726,0.9547704,-0.74775773,0.0109796375,0.8846938,2.841638,-1.789162,-0.24524467,-0.15574783,-1.6601502,0.9836579,0.0055160522,-1.2830877,-0.6933287,-1.7968572,0.4177612,2.4821858,3.105101
Hs 229.T,0.8958117,0.68648523,-0.84016883,-0.12561402,-1.3175644,-0.4636621,-0.66991067,-0.2990279,0.23321874,0.30357963,-0.68202853,-0.9041048,0.5670146,0.6581717,0.11794625,-1.0628734,0.43699571,0.77878845,-0.62510896,-0.8471593,0.75341666,-1.6694843,-0.08456999,0.757641,0.15731491,1.0062662,0.3230935,-1.4847404,0.5814702,-0.5563979,0.45610017,0.51461434,-0.5786661,0.26260012,0.5419234,-0.74078697,0.93753684,-0.4798488,-0.805735,-0.5101601,-0.47436383,-0.31725538,0.38826326,-1.2384759,0.646828,-0.6541672,-1.2345922,0.14899075,0.6440094,0.04715298,-0.056473523,0.17352599,0.62278783,-1.430802,-0.17473769,-0.35605347,-0.24941997,0.720223,0.6906575,0.73474574,0.30435118,0.70540935,0.353097,-0.060927458,0.56898427,-0.7015841,-0.366284
SNU-719,0.59157085,-0.6581487,4.3063893,-0.75637805,3.62465,3.2708144,0.48853293,0.9476575,1.6936405,-5.2640944,1.1094494,0.6021844,-2.7027357,-5.1293936,-3.6095364,3.490685,2.4602668,-4.8625107,-1.1708896,2.3238463,3.5937448,1.0040824,0.3616558,-0.3024084,-1.3028132,-0.90655863,-4.6082683,3.5338311,1.3794937,-1.5065057,-0.4252708,-2.644771,5.011775,-1.9253154,2.20495,0.100219935,3.0448005,9.4560375,-0.16094136,0.31723347,-2.5999515,-1.0164549,0.9600784,4.9068456,3.2546108,-5.163272,-1.9666228,4.9137745,-1.9916844,-2.5026033,1.1713814,-0.18724811,-1.7222914,3.3703194,1.6542029,-2.1239157,0.39402947,-1.4102163,-1.6208966,-0.19948429,-0.5848564,-0.73436046,2.1241121,-0.8787019,1.0223666,-0.41678268,2.1054404
A-204,-0.90636843,0.8524045,-0.6406036,-0.8976046,-1.2886021,-0.9789676,-0.4513158,-0.5703697,-0.44646007,0.23308879,0.28693548,-0.5482947,0.51339954,0.46082276,0.1785194,-0.25641918,-0.037745565,1.1081098,0.2313134,-0.7464266,-0.32758862,-0.44592083,-0.42581907,0.48861673,-0.016410515,1.2805833,0.22443974,-0.69666415,-1.1521614,-0.31399667,0.25726956,-0.84459996,-0.34449875,0.7687788,-0.41095245,0.56200254,-0.11785139,-1.4599931,0.56116164,-0.00016504712,1.0942193,-0.59078765,-0.7367488,-0.2857672,-0.18008095,0.70152795,-0.2398365,-0.32887393,-0.30081645,-0.11858848,-0.28772283,0.03147442,0.253641,-0.89142406,-0.40565926,0.599734,0.69008666,-0.5398354,-0.43625212,0.041868627,-0.087259635,-0.17411011,-0.27930897,-0.31985313,0.9945669,-0.12903416,0.30791742
SNU-520,-1.7395924,-0.30725113,1.85309,-1.4435972,-0.74172574,-1.4350715,-1.375654,0.5753747,0.18466036,0.346744,0.43031532,-1.4036795,0.29140943,1.1458845,0.055432457,1.2784227,1.1324536,0.92569727,0.19011235,-0.9566682,-1.1516817,-0.1955429,1.4075357,-0.32202503,0.8579793,3.000156,-0.38464582,-1.0131584,-0.5604061,1.1419251,0.7755766,-1.8652408,0.31963462,1.3769342,1.2134256,0.44652623,0.3404962,0.09835687,1.2214289,-0.251806,0.7428795,-0.797691,-1.8287354,1.9138553,-0.1732866,1.6311657,-0.67644346,-0.22095774,0.14015788,-1.1858904,1.1773905,-0.8091649,0.24083827,2.2697806,0.027327502,1.4741204,-0.08096641,-2.5392973,-0.19788247,0.1936072,-1.2441494,-0.24377827,-0.10970783,-2.024876,0.87926614,0.76906,-0.42645144
OVCAR-8,0.28418592,1.9291484,-1.5707088,0.27084598,-1.4154177,-3.269849,0.7171489,1.065675,-0.5542069,-0.60342336,-0.76019806,0.99489295,2.318586,-1.302728,-0.48288572,-3.4699364,-1.0186942,1.4497741,2.8348656,0.44185638,2.49868,-0.5436569,0.58226514,-1.5697062,-2.1721845,-0.82931113,-1.8382677,1.7737873,3.701089,0.80974936,0.006040752,0.53566056,-0.559471,-1.0812919,-1.1952642,1.2564186,-0.4209239,-2.269898,-0.9858835,-3.4001212,-1.2896551,-0.07867311,2.4422426,-3.1113374,2.6353383,0.7736577,-2.3472445,-0.9466819,-2.0883887,0.49144483,0.17949173,-0.40768522,1.2478678,0.40225327,-0.26630855,-1.290638,0.45455322,2.7067554,-0.09321817,-1.2989439,0.53069437,0.8189047,1.3105257,-0.48671272,5.2969027,-1.9866444,2.4862595
MOLM-13,0.24216321,0.2569909,-0.2503196,0.092099905,-1.3290265,-0.08306919,-0.9988842,-0.12119573,-0.27447492,1.1197959,0.24201259,-0.92765844,1.4703778,0.42208982,0.69875973,-0.7238719,-0.10392391,0.7974611,0.99619687,-1.1529121,-0.67622125,-1.2393254,-0.6378652,0.47224772,0.27083385,1.1480528,1.0917844,-1.5132844,-0.89455897,0.058471337,-0.18799439,-0.2515558,-0.829722,0.63160306,0.19821773,0.85125566,0.021057598,-1.6577353,0.12730618,0.5869402,0.6176392,0.30701596,0.17328446,-1.2887914,0.16430283,0.5184778,0.12977822,-0.30223116,0.6554773,1.7600002,0.19029933,0.37324739,-0.10532111,-0.4225624,-0.6260255,0.0681351,0.18262649,0.46253476,0.46771222,0.110389255,0.39364833,0.25048923,-0.5145505,0.5300328,-0.78935397,0.13749261,-0.5763443
Hs 578T,0.685921,0.512418,0.87692463,-1.3061862,-2.8325963,1.9652205,-1.0973209,1.3953673,1.4272156,-0.1802826,0.34147707,-2.1076632,2.9248476,-0.793671,-0.6712672,0.21471676,1.6577234,-0.39410526,2.2272744,-0.6491006,-0.20499936,-1.0393622,1.2980545,-1.2352676,-1.3978479,2.1743038,0.33070475,-1.127532,1.1525068,-1.3881406,1.9957529,0.55193806,-1.9208242,-0.8725965,1.0100794,2.0302126,2.3769593,0.055886235,-0.09900693,-0.4546922,-0.66069996,0.49061924,1.175284,0.39150533,1.5229211,2.0118747,-1.5884113,-0.64182955,1.6289132,-0.34172356,1.8200783,3.6815608,0.18735284,1.9962971,-2.1471968,-2.0176055,-0.44756156,1.1845286,3.4878237,0.96418977,0.024035469,-0.53633595,-0.015871633,-2.0598876,-0.47916287,-0.9175092,1.0113473
NCI-H209,-1.9581546,0.4226845,1.037731,-0.759982,-1.3216271,-1.4967555,-1.456846,-1.2097366,-1.0173757,0.10237853,0.11530701,-0.10896088,0.60698664,-0.01101587,-0.5971924,0.41823626,-0.29444483,0.9906112,1.244484,-0.40880272,-0.42210183,-0.007983847,-0.6268872,0.5119218,-0.36236477,0.92619765,-0.3219011,-0.16843024,-1.8312142,-0.3145549,-0.102359444,-1.9052005,-0.2663474,0.841623,-0.5691361,0.7765623,-0.36237338,-1.3353655,0.8116298,0.12703781,1.9700029,-0.91356385,-0.8297105,0.5943843,0.04248243,1.0426575,-0.43975452,-0.67061484,-0.4208368,0.7635699,-0.19843522,-0.30124032,-0.32447782,-0.4994357,-0.18014546,1.6254793,1.00278,-1.3691264,-0.7047303,0.48542425,-0.5957369,-0.66370195,-0.84698844,0.09353374,0.65574086,-0.5212146,-0.14831127
MOLT-16,-1.5396788,0.76421463,-0.1579286,1.9024267,-0.5354465,-3.2745104,0.15442522,-0.72625107,-2.1784546,1.1617023,-0.2719815,1.5895718,-1.2954009,0.8926056,1.0447237,0.3019606,-1.4957795,0.31909087,0.612061,-0.66609097,0.6387862,1.5888557,-1.1029097,-1.0023041,0.39037326,-1.3991616,0.23256446,0.015367791,-0.6479006,0.19554771,-1.8273222,-0.16798991,-0.94169337,-0.24984048,-1.5126392,1.0637649,-2.1357071,-2.6793242,2.3967266,-1.7356782,1.3247839,0.40980044,-0.4810159,-1.78499,-0.44199693,-0.05934064,-1.2922138,-0.10258508,-1.0682504,1.3289573,0.29974332,-3.3113775,-1.2025145,-2.059853,0.51109,0.8632212,-1.7917378,0.8618447,-2.1158977,-0.84627616,0.5105905,-0.6069002,-1.6144304,0.0007488802,2.318427,-0.9898224,0.5740449
F-36P,-0.79575354,0.83785295,1.017967,-0.97782737,0.26460835,-0.86553895,-1.1225705,-1.1557992,-0.6891682,-0.40592217,0.879648,-0.89683634,-0.9209846,0.18626088,-1.8995541,0.7827603,0.44449237,0.39627573,-0.37529725,-1.6414359,-0.103896424,0.35539773,0.8037429,1.208271,-1.4409724,1.5320562,-0.7997541,-1.3866311,-2.5024245,0.12386559,-0.21809086,-1.5962273,0.6958653,1.414785,1.308448,0.46058804,1.1852363,1.1303738,0.7041044,0.5934888,-0.9696225,-1.3737291,-0.88871455,0.81508046,-0.018701453,-0.5780371,-1.8069217,0.30630714,0.032383453,-1.0283059,-1.3904212,-0.25873882,-0.9433407,0.034301773,-1.0134004,1.8581188,0.19220796,-1.5283296,-0.668599,0.7362241,-1.2321597,-0.84775466,-0.80897814,-1.7728378,-0.09702919,0.4906384,1.5527387
SU-DHL-1,3.5576124,1.341776,0.7111477,0.37823877,4.450086,4.2137833,5.333078,0.80707335,-4.3328996,-4.5130916,-0.51709414,0.6755806,-2.1968622,0.6535101,-2.7033346,-2.2607782,0.49434215,-3.9800487,-4.365012,3.6611218,0.40703738,1.7768171,-0.42317572,0.744045,-5.2436237,-2.0178688,-1.9750615,-0.3815182,0.9949681,-0.7829556,0.5002626,-3.1328363,0.93987817,-0.06317704,3.4681883,-1.8021542,-2.0117512,1.4108717,2.1512654,3.0403252,-3.1877482,-0.0056399144,4.7183504,1.5897031,-4.007726,-2.387753,1.8692855,-0.29041487,-1.5401417,-0.6616653,-1.2677953,-0.5824989,0.08454892,4.0566483,-2.059517,-2.3258731,-0.5078532,2.133983,1.5020905,1.8291178,-4.5313296,0.52128893,-0.860631,1.8995093,-3.636188,3.7293346,2.8368165
Hs 936.T,-0.1684039,0.991478,-2.1099215,1.2824558,1.1082528,-0.36511004,2.235216,0.6391624,-0.06536706,-0.023233056,1.2024952,1.4407489,-1.6212283,-0.67783517,-0.00250604,0.46041632,-0.65449643,1.0024385,-1.70171,1.0651007,-0.008764347,1.673359,2.0375192,-0.45774227,2.453516,-0.5738189,-0.80903774,0.42278624,1.894292,0.47999433,0.13336466,1.2531526,-0.30373418,-0.003159359,0.1924776,-0.667848,0.42476663,0.013245344,-1.1297762,-1.1930673,-1.15536,0.30583876,0.26478693,0.30265993,-1.4075283,1.4183775,0.48941323,-1.0609103,-0.0076976866,-0.600233,1.1945999,-1.774416,1.0752631,-0.15296933,1.3451923,-0.3646524,0.29631037,0.6877744,-0.1095451,2.1845148,-0.61870635,-0.7570286,-0.8075232,-1.5255295,-0.42396536,1.0553977,-0.35756117
Hep-G2,-0.11510054,1.9257864,-1.593475,0.7988837,-1.3225625,1.0637352,-1.0468512,-1.0715442,-0.23045756,-2.029487,1.0353289,1.342563,0.778812,-1.2759858,-1.4080986,0.5798767,0.18963328,0.3967343,0.76754946,0.67014056,0.10005825,-0.018115602,-0.302168,1.2401989,-0.39687264,-1.1962872,-0.6364564,1.1009938,0.34053707,-0.9590581,1.751327,1.0832626,0.8479971,0.33250016,0.159171,1.873405,0.11758249,-0.491748,0.47189158,-1.2885346,-1.4555534,0.18166949,1.5732555,-0.08951499,0.71044034,0.19549811,-2.780297,-0.3537411,-0.015150383,1.6234003,-0.71894175,1.1828549,-0.66441953,-0.80586135,1.1693938,-0.2609696,1.9244134,2.7165024,-0.6546745,1.3887607,-0.47309062,-0.85684407,-0.7440242,-1.1027586,-0.17200923,0.07310305,2.8115318
Becker,0.013814174,-0.34582245,1.2812898,-1.0969914,-0.095453374,0.19806933,-1.3936162,1.0447946,-0.6339103,-1.7291492,0.80210435,-0.3067543,1.1935041,-1.308105,-0.7515304,-0.17475963,-0.38738096,-0.5039448,1.0143715,0.5933399,-0.52021134,0.26429647,2.1116574,-0.16040316,1.9259387,0.21248066,-1.5559301,0.4866914,0.83442825,2.1582446,0.14100529,-0.42915168,0.40023816,-0.36368284,0.14526206,0.5345744,1.8449558,1.1962014,-1.9939016,0.12619802,-1.6840663,1.0870864,-0.052069314,1.101383,2.1328135,-0.39749646,-0.37548286,-1.8664252,1.4468116,0.36548048,-1.0616068,0.9852098,-0.6586677,1.5936619,1.1846641,0.44123188,0.6569974,-0.96227306,0.22649914,0.5030306,-1.3984461,-1.2032794,-0.33954304,0.26358932,-0.85902464,0.0033139363,0.27094296
LOU-NH91,-1.462076,0.833653,-0.5667316,-0.9351562,-1.2824218,-0.99571687,-0.69888353,-0.59868395,-0.509436,0.43555987,0.24938574,-0.17816475,0.3570965,0.4071244,0.114196025,-0.086945266,-0.018367982,1.0677054,0.25265342,-0.67204875,-0.082171276,-0.3199941,-0.45690337,0.56924427,0.026773324,1.2728444,0.3523421,-0.7128347,-1.1386236,-0.028238237,0.21963748,-0.51058674,-0.3278014,0.67299265,-0.49199754,0.42742422,-0.15136808,-1.3075943,0.5538198,0.021938816,1.0990802,-0.7180339,-0.73863566,-0.3835832,0.025185186,0.9682764,-0.5440368,-0.30698428,-0.3610121,0.26205504,-0.39178228,0.06148989,0.060273796,-0.98518926,-0.4278417,0.6028126,0.66133267,-0.54295564,-0.49237183,0.06222544,0.009724902,-0.23680049,-0.5885764,0.112837285,0.9094366,0.017735004,0.48116586
Li-7,0.9750384,0.22584711,1.3771541,1.0302856,-0.14992565,0.51953226,0.6908796,1.6146557,-0.014778379,-1.740123,0.16765732,-1.5355145,-0.4386669,0.21033147,0.9042871,-0.6748305,0.7850516,-0.16984889,0.2859985,1.2651436,-0.4635957,-1.5695083,2.5655613,0.050643057,0.7152488,-0.15855533,-0.9946114,-0.1534613,3.082031,1.9119933,-0.14301108,-0.41690177,-0.063189715,0.44306013,2.5787442,-0.7946667,1.4441364,1.5910711,-1.0170707,0.4108175,-2.3319647,0.120351836,0.7803232,1.420046,-1.1091859,-1.337421,1.2462282,-1.4776711,1.6158463,-1.0862877,0.21580684,-0.8040434,1.4996794,3.0210936,0.6285641,-0.6107148,-0.15867986,-0.7208817,0.9990349,1.1247215,-0.2380605,1.81264,1.7722741,-0.19319068,-1.1948402,1.3318013,-0.78252405
Hs 766T,2.9310331,0.8640607,-0.80641407,-1.3018978,0.462666,-0.732308,0.45510772,-1.5315758,0.091917805,-0.99986327,1.0031363,-1.7015032,-2.4140885,1.3769971,-3.380272,3.5136776,0.9591522,-1.3185536,-1.6044432,-0.12329154,0.56379235,-1.2467749,0.5095321,1.5929914,-2.0448763,-0.1979085,1.0977244,0.95161015,-0.9417838,-1.0821037,0.74426305,-0.8303286,0.8508407,-0.18801641,2.457326,-0.6295395,2.8818212,3.344601,-0.40547654,-0.53419507,-1.2483401,0.68000865,-0.35194722,0.024836674,3.0386248,-2.9306417,-3.201783,-1.5701237,-1.0996301,-0.6823279,-2.9161441,0.6136441,-0.8127881,-1.3909179,0.017842755,-2.4377422,-0.42494184,-0.15732618,-0.6375728,1.5838052,0.20050295,-0.26731837,0.49983817,-2.306093,-0.106330335,0.8844565,1.9942056
EJM,0.059926726,-1.7590134,0.8463138,-0.34303167,-0.7081257,2.373176,0.78272283,0.976194,2.0524023,-0.9042809,0.6740372,-1.1290984,1.6440889,-0.9239342,0.18600543,-0.26615706,1.5847205,-0.90031075,0.78053004,1.2115283,0.15390392,-0.99883354,0.52990824,-1.2978477,0.9870912,-0.023056744,0.2936356,0.71680456,2.6005983,0.115442246,0.89460707,2.2492576,-0.95621246,-1.5887523,-0.861485,0.34651822,1.1810143,1.9595487,-0.4135267,0.18854296,0.79138255,1.5459684,1.0078917,0.7218238,0.9565894,0.6236993,0.6912985,-0.94454044,1.1825244,0.5922636,1.648091,2.6454792,0.64535224,3.0305953,-0.6300622,-2.8994522,0.30929792,-0.24223246,2.2358475,-0.1030095,1.1217505,-0.95147234,1.053292,0.062997594,-0.20284005,-0.36664155,-0.037336197
SNU-349,0.40546903,-5.207256,1.4384894,0.788027,5.3418975,5.008288,4.2232456,0.3475506,-1.162118,-2.7172577,-0.49401203,0.3905047,1.4222798,-1.4110326,-1.2066326,-2.7329993,1.1893371,-5.999415,-1.9224515,2.100959,0.104646236,4.6243863,0.78156006,0.24270788,-0.057581995,-1.5972769,-1.4690721,3.204925,4.400717,1.5293474,-1.001708,1.6238902,-2.5706801,-1.7086418,-2.7713928,-0.05163958,0.8833144,5.8797727,3.7188642,-0.3141596,0.8236553,-0.19454317,1.3960038,2.02229,-1.0431172,-1.5065057,3.3405635,-1.5330958,0.008678377,2.1204607,0.34040147,0.71015805,0.7211271,5.2844253,2.008804,-1.6181251,0.6552109,-0.629634,-0.05632484,-2.0079582,-0.041439384,0.20689474,3.2404718,0.80722386,1.3850225,0.08125968,0.056711376
